"npo.id","year","n.page"
"4","2009","2"
"4","2010","4"
"4","2011","4"
"4","2012","2"
"4","2013","2"
"4","2014","2"
"24","2006","6"
"24","2007","11"
"24","2008","14"
"24","2009","3"
"24","2010","3"
"24","2011","2"
"24","2012","2"
"24","2013","14"
"24","2014","14"
"28","2006","11"
"28","2007","13"
"28","2008","13"
"28","2009","60"
"28","2010","11"
"28","2011","11"
"28","2012","11"
"28","2013","11"
"28","2014","10"
"52","2012","6"
"52","2013","2"
"52","2014","2"
"60","2013","12"
"60","2014","14"
"76","2009","6"
"76","2010","7"
"76","2011","9"
"76","2012","3"
"86","2007","12"
"86","2008","12"
"86","2009","4"
"86","2010","19"
"86","2011","16"
"86","2012","16"
"86","2013","16"
"86","2014","16"
"89","2007","1"
"89","2008","2"
"89","2009","2"
"89","2010","2"
"89","2011","2"
"89","2012","2"
"89","2013","2"
"89","2014","2"
"105","2013","15"
"105","2014","15"
"124","2007","4"
"124","2008","4"
"124","2009","4"
"124","2010","3"
"124","2011","3"
"124","2012","3"
"124","2013","2"
"124","2014","2"
"148","2008","12"
"148","2009","11"
"148","2010","15"
"148","2011","16"
"148","2012","16"
"148","2013","15"
"148","2014","15"
"156","2012","8"
"156","2013","8"
"156","2014","8"
"161","2012","2"
"161","2013","2"
"161","2014","2"
"164","2007","10"
"164","2008","10"
"164","2009","10"
"164","2010","10"
"164","2011","11"
"164","2012","10"
"164","2013","12"
"164","2014","11"
"184","2013","3"
"184","2014","3"
"199","2007","3"
"199","2008","12"
"199","2009","12"
"199","2010","12"
"199","2011","12"
"199","2012","11"
"199","2013","12"
"199","2014","12"
"242","2011","2"
"242","2012","2"
"242","2013","18"
"242","2014","20"
"260","2007","6"
"260","2008","17"
"260","2009","6"
"260","2010","18"
"260","2011","18"
"260","2013","17"
"260","2014","19"
"267","2006","10"
"267","2007","8"
"267","2008","13"
"267","2009","78"
"267","2010","15"
"267","2011","14"
"267","2012","15"
"267","2013","15"
"267","2014","15"
"280","2009","8"
"280","2010","3"
"280","2011","12"
"280","2012","14"
"280","2013","12"
"280","2014","13"
"297","2011","14"
"297","2012","17"
"297","2013","17"
"297","2014","17"
"302","2013","14"
"302","2014","15"
"310","2006","5"
"310","2007","7"
"310","2008","1"
"310","2009","1"
"310","2010","4"
"310","2011","4"
"310","2012","2"
"310","2013","2"
"310","2014","2"
"329","2006","13"
"329","2007","2"
"329","2008","12"
"329","2009","12"
"329","2010","12"
"329","2011","13"
"329","2012","12"
"329","2013","12"
"329","2014","12"
"334","2014","12"
"338","2013","12"
"338","2014","13"
"359","2006","5"
"359","2007","6"
"359","2008","6"
"359","2009","4"
"359","2010","25"
"359","2011","26"
"359","2012","26"
"359","2014","19"
"375","2007","9"
"375","2008","4"
"375","2009","4"
"375","2010","5"
"375","2011","3"
"375","2012","2"
"375","2013","2"
"375","2014","2"
"380","2011","5"
"380","2012","2"
"380","2013","2"
"380","2014","2"
"406","2008","5"
"406","2009","14"
"406","2012","14"
"406","2013","15"
"406","2014","14"
"414","2006","4"
"414","2007","1"
"414","2008","16"
"414","2009","4"
"414","2010","15"
"414","2011","15"
"414","2012","17"
"414","2013","18"
"414","2014","18"
"421","2008","11"
"421","2009","2"
"421","2010","2"
"421","2011","2"
"421","2012","7"
"421","2013","5"
"421","2014","5"
"423","2009","1"
"423","2010","2"
"423","2011","2"
"423","2012","2"
"423","2013","10"
"423","2014","15"
"438","2009","7"
"438","2010","3"
"438","2011","3"
"438","2012","3"
"438","2013","8"
"438","2014","3"
"444","2007","31"
"444","2008","1"
"444","2009","1"
"444","2010","2"
"444","2011","3"
"444","2012","2"
"444","2013","2"
"444","2014","2"
"459","2012","17"
"459","2013","15"
"459","2014","15"
"471","2006","9"
"471","2007","3"
"471","2008","2"
"471","2009","4"
"471","2010","4"
"471","2011","10"
"471","2012","10"
"471","2013","10"
"471","2014","10"
"488","2006","11"
"488","2007","2"
"488","2008","1"
"488","2009","12"
"488","2010","3"
"488","2011","12"
"488","2012","12"
"488","2013","13"
"500","2009","2"
"500","2010","3"
"500","2011","3"
"500","2012","3"
"500","2013","3"
"500","2014","3"
"505","2009","2"
"505","2010","2"
"505","2011","2"
"505","2012","2"
"505","2013","2"
"505","2014","2"
"519","2006","1"
"519","2007","4"
"519","2008","7"
"519","2009","3"
"519","2010","2"
"519","2011","14"
"519","2012","18"
"519","2013","14"
"519","2014","15"
"541","2010","2"
"541","2011","2"
"541","2012","2"
