"npo.id","npo.name","email","tel"
"npo0064","(財)恆安老人長期照顧中心受託經營臺北市陽明老人公寓","940927017@hangan.org","2861-9296"
"npo1238","「張老師」基金會高雄分事務所","cyckhcgc@ms15.hinet.net","(07)3333221"
"npo0916","一粒麥子社會福利慈善事業基金會","","089-3233621393"
"npo1486","三信文教基金會","tccedu@ms37.hinet.net","(04)22302731"
"npo1764","世寰社會福利慈善事業基金會","shihuan2383847@gmail.com","(06)2033375"
"npo2269","世界和平婦女會台灣總會","Sophie.wfwp@gmail.com","0223637656"
"npo2286","世界宗教博物館發展基金會","message@mwr.org.tw","(02)82316699"
"npo0015","世華聯合商業銀行文化慈善基金會","fund@cathaybk.com.tw","(02)23125555"
"npo0116","中和庄文史研究協會","ho.town@msa.hinet.net","02-8668-3827"
"npo1169","中國信託慈善基金會","Chinatrust foundation@email.chinatr","02-272572166708"
"npo1179","中國文化大學學生輔導中心","","(02)28610511"
"npo0997","中國文化大學推廣教育部","mhliu@sce.pccu.edu.tw","02-27005858"
"npo1826","中國痲瘋服務協會","leps@ms64.hinet.net","02-2204-7434"
"npo2542","中國藝術家協會","mnt@newnet.tw","02-2396062010"
"npo2233","中國青年救國團直屬台灣省南投縣團務指導委員會","ntntc@cyc.tw","049-222344125"
"npo0429","中外餅舖庇護工場","cake0821tw@yahoo.com.tw","07-5886366"
"npo1277","中彰投區就業服務中心","kcchen@jobmail.evta.gov.tw","04-23500586312"
"npo0828","中華人事主管協會","cpea@cpea.org.tw","02-27635678"
"npo0512","中華人力資源發展學會","kingntust@staff.1111.com.tw","02-8787-11112753"
"npo0874","中華人口文化促進會","chinese.women.no1@gmail.com","23112567"
"npo1286","中華人本全人教育協會","service.8989@pengching.com","04-22054518"
"npo2028","中華人權協會台北海外和平服務團","tops@cahr.org.tw","02-3393690022"
"npo2541","中華傳愛社區服務協會","Sinch_Wang@grace.org.tw","(04)22984774"
"npo0759","中華兒童圍棋協會","a@gotw.tw","25531336"
"npo2606","中華全球婦女產業促進會","c.p.c.p.no1@gmail.com","23112567"
"npo1377","中華全腦開發協會","genguos@yahoo.com.tw","02-27081498"
"npo1841","中華兩岸人才交流協會","Linda.maio@staff.1111.com.tw","02-87871111"
"npo1609","中華公司治理協會","mail@cga.org.tw","02-23685465"
"npo1026","中華共學教育發展協會","learnone99@gmail.com","03-3414760"
"npo0354","中華唇顎裂兒童基金會","lips.m4198@msa.hinet.net","02-26033423"
"npo0294","中華啟能基金會","","(02)29763906"
"npo0744","中華善法慈善協會","service@sanfar.org","02-2760793911"
"npo2245","中華單親家庭互助協會","singlefamily@singlefamily.org.tw","02-2528-3020"
"npo0855","中華國際人權促進會","cahr1210@gmail.com","02-22500995"
"npo0998","中華國際催眠協會","asia@ihnma.org","02-29487098"
"npo0804","中華國際癌病康復協會","hkcam23577128@yahoo.com.tw","(02)23577128"
"npo1031","中華國際自然能量養生協會","iso9995@gmail.com","02-23887396"
"npo0972","中華國際財務金融研究發展協會","meg818@ms28.hinet.net","0982808757"
"npo0488","中華基督教救助協會","support@ccra.org.tw","02-86609995"
"npo0473","中華基督教新時代青年會","ccya@seed.net.tw","02-27352384"
"npo2510","中華基督教總會附設花蓮縣私立長榮養護院","egnh100@yahoo.com.tw","03-8420122"
"npo0140","中華大家功德會","everyone0331@gmail.com","(04)22492218"
"npo1380","中華大自然教育推廣協會","","2366-1011"
"npo2580","中華婦女創價協會","cwca@hotmail.com.tw","03-3121043"
"npo0515","中華守候文教協會","nlpsolvall@gmail.com","02-28829186"
"npo0871","中華安全行動照護協會","info@cspha.org.tw","02-2659-0398"
"npo0436","中華寶炬慈善功德會","bjtp.300@gmail.com","(02)25784912"
"npo0504","中華希望之翼服務協會","hope.wing@msa.hinet.net","02-8287-0041"
"npo1414","中華平等心社會扶正協會","jfs2002@ms71.hinet.net","03-535-1440"
"npo1637","中華心理衛生協會","mhat.tw@gmail.com","(02)25576980"
"npo1070","中華快樂成長親子協會","faith.aps@gmail.com","04-24754867"
"npo2409","中華慈光愛心會","you560604@yahoo.com.tw","(02)23625575"
"npo1211","中華扶輪教育基金會","cref@cref.org.tw","(04)3282971"
"npo2445","中華救助總會","cares15@cvtc.org.tw","(02)23936566287"
"npo1052","中華文化社會福利基金會台北兒童福利中心","swa@tcwc.org.tw","02-27679264595"
"npo1294","中華文化總會","Stellawu@mail.create.org.tw","02-23964256112"
"npo1292","中華新時代協會","cnas0778@gmail.com","02-2598-0778"
"npo2264","中華普露功德會","Pupu221@yahoo.com.tw","04-25159317"
"npo1081","中華智慧人生文教發展協會","cwlamail@gmail.com","02-25969173"
"npo0985","中華曙光慈愛協會","jealousylee@hotmail.com","02-86687588"
"npo2083","中華樂活學習發展協會","service@fun-leran.org","02-26098326"
"npo1745","中華樂輔關懷教育協會","cycetw@hotmail.com","02-28767727"
"npo0465","中華正向發展協會","ryan.hcy@gmail.com","02-22325883"
"npo1430","中華正義協會","mingfonglee2011@gamil.com","02-8522-2951"
"npo1373","中華民國三一寰宇文化協會","steven318625@gmail.com","02-23120321"
"npo2339","中華民國亞太地區創作藝術推廣協會","michelle@smartorange.com.tw","02-29721130"
"npo1281","中華民國休閒獨木舟協會","amy@kayak.com.tw","(02)8866255814"
"npo0934","中華民國佛教華嚴學會","shian8@huayenworld.org","(02)32345945"
"npo2149","中華民國佛教青年會","cyba@ms2.seeder.net","(02)25670868"
"npo1893","中華民國保護動物協會","apaofroc@ms9.hinet.net","02-2704-0809"
"npo1298","中華民國債務人更生扶助協會","ef4326@yahoo.com.tw","02-2503-4589"
"npo0464","中華民國優格文化教育推廣學會","fanjohnlinmay@yahoo.com.tw","038650907"
"npo0785","中華民國儲蓄互助協會","hr01@culroc.org.tw","04-229172728202"
"npo0631","中華民國兒童人權協會","ling5595@ms69.hinet.net","02-2925-5388"
"npo0603","中華民國兒童福利聯盟文教基金會","joy@cwlf.org.tw","02-25505959128"
"npo2317","中華民國兒童青少年及身心障礙者口腔保健暨矯正學會","sunny0209tw@yahoo.com.tw","02-8792728588144"
"npo0712","中華民國全人文教協會","mbt97@ms17.hinet.net","02-89351699"
"npo2517","中華民國全民扶助協會","aid0809050777@gmail.com","04-35008387"
"npo0323","中華民國全民法律關懷輔導協會","cf690222@hotmail.com","03-4253033"
"npo1230","中華民國公益團體服務協會","fnpa@gcn.net.tw","02-88612023"
"npo2564","中華民國出版品評議基金會","ROCPAF@ms93.url.com.tw","(02)23960800"
"npo2039","中華民國勞工技能訓練發展協會","train.lsta@msa.hinet.net","06-2221199"
"npo1769","中華民國反毒運動促進會","antidrug83@gmail.com","02-23815225130"
"npo1753","中華民國台灣泰迪熊協會","service@twtba.org.tw","02-2833-7982"
"npo1329","中華民國唐氏症關愛者協會","down3578@ms32.hinet.net","02-27151233"
"npo0929","中華民國喜樂身心靈障礙者福利促進協會","yen.mickey@msa.hinet.net","04-8963820"
"npo0360","中華民國喜樂身心靈障礙者福利促進協會伯立歐庇護工場","t.c.polio@gmail.com","0423110097"
"npo1522","中華民國喜願協會","mawtpe@ms24.hinet.net","02-2718-2656"
"npo0754","中華民國四健會協會","gogo4h@hotmail.com","02-2362602113"
"npo1910","中華民國國秀關懷協會","chrissie@ms7.url.com.tw","04-23198018"
"npo2483","中華民國國際幼兒教育協會","earthchild@earthchild.org.tw","02-27820618"
"npo0490","中華民國圖板遊戲推廣協會","boardgamea@gmail.com","0903110987"
"npo2586","中華民國基督教約書亞全人關懷協會","joshua.careu@gmail.com","05-2277007"
"npo0852","中華民國多發性硬化症協會","ms@ms.org.tw","05-5519330"
"npo0773","中華民國太極拳總會","tccass@ms35.hinet.net","(02)27783887"
"npo1947","中華民國失智者照顧協會","sunshin.ginging@msa.hinet.net","04-24731619"
"npo2141","中華民國學習障礙協會","ocd00229@ms36.hinet.net","02-2736-4062"
"npo1452","中華民國學而發展協會","hsdv666@gmail.com","03-6662091"
"npo1060","中華民國宇愛光養生協會","ullorg@yahoo.com.tw","0918118949"
"npo2216","中華民國家庭照顧者關懷總會","takecare@ms17.hinet.net","02-25111751"
"npo0907","中華民國小胖威利病友關懷協會","cf67821@gmail.com","02-27780996"
"npo1974","中華民國就業服務協會","employ@cm1.ethome.net.tw","(02)87872997"
"npo0144","中華民國就業服務專業人員協會","espastw@gmail.com","(02)27001498"
"npo1628","中華民國幸福家庭促進協會","fwa.fwa@msa.hinet.net","04-23580655"
"npo0890","中華民國康復之友聯盟","tamiroc.tamiroc@msa.hinet.net","02-23951206"
"npo1734","中華民國弘道志工協會","hondao@hondao.org.tw","04-22060698"
"npo0004","中華民國愛加倍社會福利關懷協會","aswa@agape-welfare.org.tw","25869329"
"npo0573","中華民國慈恩慈善會","cien9818@gmail.com","038-465038"
"npo2170","中華民國應用音樂推廣協會","help@musictherapy.org.tw","05-2723625"
"npo1057","中華民國我為人人實踐推廣協會","cfj@ms15.hinet.net","08-7333393"
"npo0681","中華民國救世慈善協會","rocrcahl@yahoo.com.tw","03-8574471"
"npo1929","中華民國新女性聯合會","newwomen@seed.net.tw","02-23971214"
"npo0301","中華民國新生活教育推廣協會","nlape.org@gmail.com","038544422"
"npo0044","中華民國早療課程設計推廣協會","ebc@ebc.twmail.org","02-27774518"
"npo2026","中華民國星橋愛心服務協會","lien5479@ms33.hinet.net","02-27383899"
"npo2049","中華民國普仁之友會","care.care@msa.hinet.net","02-23691886"
"npo2195","中華民國智障者家長總會","papmh@papmh.org.tw","(02)27017271"
"npo1834","中華民國智障者體育運動協會","wakamodo@soct.org.tw","02-25989571"
"npo1919","中華民國更生少年關懷協會","goto.east616@msa.hinet.net","02-27693258"
"npo1168","中華民國梅門一氣流行養生學會","meimen.peace@yahoo.com.tw","02-23216677"
"npo0474","中華民國殘障技能發展協會","rocdisass@kimo.com","(02)23627497"
"npo0503","中華民國水意外災害防治教育學會","wangkc@cc.ntnu.edu.tw","02-23058386"
"npo2274","中華民國永續生態旅遊協會","eco.tourism@msa.hinet.net","02-23691660"
"npo0426","中華民國海洋運動推廣協會","tmsa@tmsa-tw.org.tw","02-89721497"
"npo2257","中華民國消費者文教基金會","comfoda@ms14.hinet.net","(02)27001234"
"npo2012","中華民國濟世功德會附設台北縣私立成功清寒植物人安養院","success.a132@msa.hinet.net","2973-2212"
"npo1794","中華民國無喉者復聲協會","larynge.ctomees@msa.hinet.net","(02)28739929"
"npo2398","中華民國無障礙科技發展協會","waiting@twacc.org","02-25994236"
"npo0017","中華民國牧愛生命協會","love.farming@msa.hinet.net","（07）5218931"
"npo0664","中華民國獨木舟協會","team.aruba@msa.hinet.net","0972980592"
"npo2282","中華民國環境教育學會","eesoctwn@ms27.hinet.net","02-2935523225"
"npo2376","中華民國生命動能協會","seamax@seed.net.tw","04-7203211"
"npo1946","中華民國生活技能協會","service@e-salico.com.tw","02-23586346"
"npo0634","中華民國生活調適愛心會","ilife.org@msa.hinet.net","2759-3178"
"npo0690","中華民國癌友新生命協會","linhw@cute.edu.tw","0921829398"
"npo1830","中華民國發展遲緩兒童基金會","fcdd@ms47.hinet.net","02-27530855"
"npo1668","中華民國發展遲緩兒童早期療育協會","caeip@caeip.org.tw","038-239335"
"npo1847","中華民國社區營造學會","shuang6668@gmail.com","02-23956771231"
"npo0872","中華民國社區資源交流協會","denilee1971@yahoo.com.tw","27990330"
"npo0730","中華民國社區重聽福利協會","tw.hearhard@gmail.com","(02)25506658"
"npo2150","中華民國社會事業發展協會","lig9346@gmail.com","02-27271555"
"npo1155","中華民國社會工作師公會全國聯合會","nup.swa@msa.hinet.net","06-6567005"
"npo1844","中華民國社會服務協會","nationalhero0228@gmail.com","07-3470479"
"npo0278","中華民國神經語言程式學協會","contact@nlp-plus.com.tw","02-87892148"
"npo0867","中華民國管理科學學會","volunteer@mail.management.org.tw","02-33431100"
"npo1804","中華民國紅十字會南投縣支會","Red.crossnt@msa.hinet.net","049-224278320"
"npo1184","中華民國紅十字會台北市分會","elvis.yc@msa.hinet.net","02-27583009"
"npo1783","中華民國紅十字會台灣省分會","rct@seed.net.tw","02-23660976"
"npo2278","中華民國紅十字會台灣省台中市支會","jeffche.chen@msa.hinet.net","(04) 2222241"
"npo1092","中華民國紅十字會台灣省嘉義縣支會","cons0607@gmail.com","05-3621207"
"npo1914","中華民國紅十字會台灣省彰化縣支會","chc.redcros@msa.hinet.net","04-7113186"
"npo1367","中華民國紅十字會台灣省桃園縣支會","ty.red@msa.hinet.net","03-3327609"
"npo0528","中華民國紅十字會台灣省苗栗縣支會","cpr360@gmail.com","(037) 269938"
"npo1676","中華民國紅十字會台灣省雲林縣支會","redcrossyunlin@kimo.com","05-5353128"
"npo0499","中華民國紅十字會台灣省高雄縣支會","ksred830@giga.net.tw","07-7467028"
"npo0729","中華民國紅十字會新竹縣支會","hch.redc@msa.hinet.net","03-5543403"
"npo0406","中華民國紅十字會總會","redcross@redcross.org.tw","02-2362-8232"
"npo1038","中華民國紅十字會臺中市支會","sweetlife_7998@yahoo.com.tw","0422222411"
"npo0400","中華民國紅十字會金門縣支會","","08-2371559"
"npo1833","中華民國紅心字會","redheart_roc@yahoo.com.tw","02-2370-9191"
"npo1386","中華民國群園關懷協會","chionyuan100@gmail.com","04-22208038"
"npo0949","中華民國義務役傷殘官兵協會","ctb471.ctb471@msa.hinet.net","06-6530646"
"npo1128","中華民國老人福利推動聯盟","old@oldpeople.org.tw","02-25927999"
"npo0375","中華民國聲暉聯合會","soundhome@soundhome.org.tw","04-25312684"
"npo1472","中華民國聽障人協會","cnad001@ms16.hinet.net","23924684"
"npo0816","中華民國聽障者體育運育協會","deaf.sports@msa.hinet.net","02-25974352"
"npo2108","中華民國聾人協會","naddeaf@gmail.com","02-25523082"
