"npo.id","yr","review","note"
"npo1421",2014,"v",""
"npo1421",2013,"x","標示框不可標示多個數字: 營運活動調整項, 資產及負債之淨變動"
"npo1421",2012,"v",""
"npo1421",2011,"v",""
"npo1421",2010,"v",""
"npo1421",2009,"v",""
"npo1421",2008,"v",""
"npo1421",2007,"v",""
"npo1421",2006,"v",""
"npo0004",2014,"v",""
"npo0004",2013,"v",""
"npo0004",2012,"v",""
"npo0004",2011,"v",""
"npo0004",2010,"x","資產負債未平衡"
"npo0004",2009,"v",""
"npo0024",2014,"v",""
"npo0024",2013,"v",""
"npo0024",2012,"v",""
"npo0024",2011,"v",""
"npo0024",2010,"v",""
"npo0024",2009,"v",""
"npo0024",2008,"v",""
"npo0024",2007,"v",""
"npo0024",2006,"v",""
"npo0028",2014,"v",""
"npo0028",2013,"v",""
"npo0028",2012,"v",""
"npo0028",2011,"v",""
"npo0028",2010,"v",""
"npo0028",2009,"v",""
"npo0028",2008,"v",""
"npo0028",2007,"v",""
"npo0028",2006,"v",""
"npo0052",2014,"v",""
"npo0052",2013,"v",""
"npo0052",2012,"v",""
"npo0060",2014,"v",""
"npo0060",2013,"v",""
"npo0076",2013,"x","1 項應標示包含於哪個欄位: 人事費用"
"npo0076",2012,"v",""
"npo0076",2011,"x","資產負債未平衡"
"npo0076",2010,"v",""
"npo0076",2009,"v",""
"npo0086",2014,"v",""
"npo0086",2013,"v",""
"npo0086",2012,"v",""
"npo0086",2011,"v",""
"npo0086",2010,"v",""
"npo0086",2009,"v",""
"npo0086",2008,"v",""
"npo0086",2007,"v",""
"npo0089",2014,"v",""
"npo0089",2013,"x","資產負債未平衡"
"npo0089",2012,"v",""
"npo0089",2011,"v",""
"npo0089",2010,"v",""
"npo0089",2009,"v",""
"npo0089",2008,"v",""
"npo0089",2007,"v",""
"npo0105",2014,"v",""
"npo0105",2013,"v",""
"npo0124",2014,"v",""
"npo0124",2013,"v",""
"npo0124",2012,"v",""
"npo0124",2011,"v",""
"npo0124",2010,"v",""
"npo0124",2009,"v",""
"npo0124",2008,"v",""
"npo0124",2007,"v",""
"npo0124",2006,"v",""
"npo0148",2014,"v",""
"npo0148",2013,"v",""
"npo0148",2012,"v",""
"npo0148",2011,"v",""
"npo0148",2010,"v",""
"npo0148",2009,"v",""
"npo0148",2008,"v",""
"npo0148",2007,"v",""
"npo0156",2014,"v",""
"npo0156",2013,"v",""
"npo0156",2012,"v",""
"npo0161",2014,"v",""
"npo0161",2013,"v",""
"npo0161",2012,"v",""
"npo0164",2014,"v",""
"npo0164",2013,"v",""
"npo0164",2012,"v",""
"npo0164",2011,"v",""
"npo0164",2010,"v",""
"npo0164",2009,"v",""
"npo0164",2008,"v",""
"npo0164",2007,"v",""
"npo0164",2006,NA,NA
"npo0184",2014,"v",""
"npo0184",2013,"v",""
"npo0199",2014,"v",""
"npo0199",2013,"v",""
"npo0199",2012,"v",""
"npo0199",2011,"v",""
"npo0199",2010,"v",""
"npo0199",2009,"v",""
"npo0199",2008,"v",""
"npo0199",2007,"v",""
"npo0199",2006,NA,NA
"npo0242",2014,"v",""
"npo0242",2013,"v",""
"npo0242",2012,"v",""
"npo0242",2011,"v",""
"npo0260",2014,"x","1 項應標示包含於哪個欄位: 人事費用"
"npo0260",2013,"v",""
"npo0260",2012,"v",""
"npo0260",2011,"v",""
"npo0260",2010,"v",""
"npo0260",2009,"v",""
"npo0260",2008,"v",""
"npo0260",2007,"v",""
"npo0260",2006,NA,NA
"npo0267",2014,"v",""
"npo0267",2013,"v",""
"npo0267",2012,"v",""
"npo0267",2011,"v",""
"npo0267",2010,"v",""
"npo0267",2009,NA,NA
"npo0267",2008,"v",""
"npo0267",2007,"v",""
"npo0267",2006,"v",""
"npo0280",2014,"x","應有子項目: 營運活動調整項; 1 項應標示包含於哪個欄位: 人事費用"
"npo0280",2013,"v",""
"npo0280",2012,"v",""
"npo0280",2011,"v",""
"npo0280",2010,"v",""
"npo0280",2009,"v",""
"npo0297",2014,"v",""
"npo0297",2013,"v",""
"npo0297",2012,"v",""
"npo0297",2011,"v",""
"npo0302",2014,"v",""
"npo0302",2013,"v",""
"npo0310",2014,"v",""
"npo0310",2013,"v",""
"npo0310",2012,"v",""
"npo0310",2011,"v",""
"npo0310",2010,"v",""
