"l1","l2","l3"
"資產負債表","資產","流動資產"
"資產負債表","資產","基金及投資"
"資產負債表","資產","固定資產淨額"
"資產負債表","資產","其他資產"
"資產負債表","資產",NA
"資產負債表","負債","流動負債"
"資產負債表","負債","長期負債"
"資產負債表","負債","其他負債"
"資產負債表","負債",NA
"資產負債表","淨值","永久受限淨值"
"資產負債表","淨值","暫時受限淨值"
"資產負債表","淨值","未受限淨值"
"資產負債表","淨值","淨值其他項目"
"資產負債表","淨值",NA
"資產負債表","負債及淨值",NA
"損益表","收入","會費收入"
"損益表","收入","捐款收入"
"損益表","收入","補助收入"
"損益表","收入","委辦計畫收入"
"損益表","收入","服務收入"
"損益表","收入","專案計畫收入"
"損益表","收入","附屬作業組織收入"
"損益表","收入","銷貨收入"
"損益表","收入","其他業務收入"
"損益表","收入","其他業務外收入"
"損益表","收入",NA
"損益表","支出","人事費用"
"損益表","支出","辦公費用"
"損益表","支出","業務費用"
"損益表","支出","專案計畫支出"
"損益表","支出","折舊費用"
"損益表","支出","附屬作業組織支出"
"損益表","支出","銷貨成本"
"損益表","支出","其他支出"
"損益表","支出","其他業務外支出"
"損益表","支出",NA
"損益表","總計","本期餘絀(稅前)"
"損益表","總計","所得稅"
"損益表","總計",NA
"淨值變動表","淨值變動","期初淨值"
"淨值變動表","淨值變動","孳息"
"淨值變動表","淨值變動","受贈"
"淨值變動表","淨值變動","提撥數"
"淨值變動表","淨值變動","本期餘絀"
"淨值變動表","淨值變動","其他"
"淨值變動表","淨值變動",NA
"現金流量表","營運活動","本期淨資產變動數"
"現金流量表","營運活動","營運活動調整項"
"現金流量表","營運活動","資產及負債之淨變動"
"現金流量表","營運活動",NA
"現金流量表","現金變動數","營運活動之現金流量"
"現金流量表","現金變動數","投資活動之現金流量"
"現金流量表","現金變動數","融資活動之現金流量"
"現金流量表","現金變動數",NA
"現金流量表","期末現金餘額","本期現金及約當現金變動數"
"現金流量表","期末現金餘額","期初現金餘額"
"現金流量表","期末現金餘額",NA
