"npo.name" "p.tp" "raw.tp" "n.item"
"npo0161" "社團法人台灣失智症協會" 100 7.13063203074629 26
"npo0582" "中華民國肌萎縮症病友協會" 100 7.13063203074629 26
"npo0723" "天主教善牧社會福利基金會" 100 7.13063203074629 26
"npo0815" "財團法人人安社會福利慈善事業基金會" 100 7.13063203074629 26
"npo1034" "台灣彩虹愛家生命教育協會" 100 7.13063203074629 26
"npo1135" "社團法人台灣愛鄰社區服務協會" 100 7.13063203074629 26
"npo1314" "財團法人濟興長青基金會" 100 7.13063203074629 26
"npo1401" "社團法人台灣兒童少年希望協會" 100 7.13063203074629 26
"npo1542" "苗栗縣生命線協會" 100 7.13063203074629 26
"npo1712" "中華民國自閉症總會" 100 7.13063203074629 26
"npo1839" "財團法人台北市失親兒福利基金會" 100 7.13063203074629 26
"npo1852" "社團法人台灣數位有聲書推展學會" 100 7.13063203074629 26
"npo1956" "廣青文教基金會" 100 7.13063203074629 26
"npo2303" "社團法人台灣露德協會" 100 7.13063203074629 26
"npo2308" "台北市自閉症家長協會" 100 7.13063203074629 26
"npo2612" "財團法人桃園市私立脊髓損傷潛能發展中心" 100 7.13063203074629 26
"npo1187" "社團法人高雄市小草關懷協會" 99.92 7.12517828203417 25
"npo2360" "財團法人慈懷社會福利基金會" 99.92 7.12517828203417 25
"npo2543" "社團法人中華民國向陽關懷協會" 99.92 7.12517828203417 25
"npo1073" "愚人之友社會福利慈善事業基金會" 98.63 7.03294007929372 24
"npo0916" "一粒麥子社會福利慈善事業基金會" 98.38 7.01482239529029 24
"npo0653" "財團法人佛教蓮花基金會" 98.18 7.0006709548549 24
"npo0359" "洪建全教育文化基金會" 97.48 6.95125751325019 23
"npo0687" "仰山文教基金會" 97.48 6.95125751325019 23
"npo0148" "社團法人中華民國得勝者教育協會" 95.7 6.82435023628306 23
"npo0267" "財團法人台灣癌症基金會" 84.09 5.99590762389404 20
"npo0414" "財團法人喜憨兒社會福利基金會" 84.09 5.99590762389404 20
"npo0937" "財團法人門諾社會福利慈善事業基金會" 84.01 5.99045387518191 19
"npo0060" "華山社會福利慈善事業基金會" 80.32 5.72742117270444 25
"npo0124" "社團法人中華民國荒野保護協會" 80.32 5.72742117270444 25
"npo0471" "社團法人台中市開懷協會" 80.32 5.72742117270444 25
"npo0519" "財團法人桃園縣美好社會福利基金會" 80.32 5.72742117270444 25
"npo0546" "財團法人乳癌防治基金會" 80.32 5.72742117270444 25
"npo0571" "雅文兒童聽語文教基金會" 80.32 5.72742117270444 25
"npo0634" "中華民國生活調適愛心會" 80.32 5.72742117270444 25
"npo0766" "財團法人台中市私立弘毓社會福利基金會" 80.32 5.72742117270444 25
"npo0776" "財團法人至善社會福利基金會" 80.32 5.72742117270444 25
"npo0954" "財團法人屏東縣私立迦南身心障礙養護院" 80.32 5.72742117270444 25
"npo1128" "中華民國老人福利推動聯盟" 80.32 5.72742117270444 25
"npo1190" "財團法人地球公民基金會" 80.32 5.72742117270444 25
"npo1644" "社團法人中華民國基督教女青年會協會" 80.32 5.72742117270444 25
"npo1665" "財團法人十方啟智文教基金會" 80.32 5.72742117270444 25
"npo1775" "財團法人桃園縣私立康福智能發展中心" 80.32 5.72742117270444 25
"npo2214" "惠光導盲犬教育基金會" 80.32 5.72742117270444 25
"npo2455" "財團法人博幼社會福利基金會" 80.32 5.72742117270444 25
"npo2475" "社團法人中華育幼機構兒童關懷協會" 80.32 5.72742117270444 25
"npo0796" "財團法人嘉義縣私立嘉惠教養院" 80.24 5.72196742399231 24
"npo2505" "財團法人臺北市志玲姊姊慈善基金會" 80.08 5.71047453912223 24
"npo1505" "東元科技文教基金會" 77.81 5.54804665520834 22
"npo1569" "財團法人癌症希望基金會" 77.31 5.51262067967885 24
"npo1623" "屏東基督教勝利之家" 77.31 5.51262067967885 24
"npo1743" "屏東基督教醫院" 77.31 5.51262067967885 24
"npo0004" "中華民國愛加倍社會福利關懷協會" 76.99 5.49006025690984 25
"npo0086" "財團法人弘道老人福利基金會" 76.99 5.49006025690984 25
"npo0184" "社團法人台灣基地協會" 76.99 5.49006025690984 25
"npo0199" "桃園市私立仁友愛心家園" 76.99 5.49006025690984 25
"npo0242" "社團法人中華安得烈慈善協會" 76.99 5.49006025690984 25
"npo0310" "台灣展翅協會" 76.99 5.49006025690984 25
"npo0438" "社團法人中華民國愛滋感染者權益促進會" 76.99 5.49006025690984 25
"npo0444" "新竹市私立天主教仁愛啟智中心" 76.99 5.49006025690984 25
"npo0500" "社團法人台灣黃絲帶愛網關懷協會" 76.99 5.49006025690984 25
"npo0619" "財團法人基督教芥菜種會" 76.99 5.49006025690984 25
"npo0620" "天主教光仁社會福利基金會" 76.99 5.49006025690984 25
"npo0628" "心路社會福利基金會" 76.99 5.49006025690984 25
"npo0778" "社團法人公民監督國會聯盟" 76.99 5.49006025690984 25
"npo0849" "財團法人羅慧夫顱顏基金會" 76.99 5.49006025690984 25
"npo0969" "中華民國運動神經元疾病病友協會" 76.99 5.49006025690984 25
"npo0999" "社團法人花蓮縣老人暨家庭關懷協會" 76.99 5.49006025690984 25
"npo1024" "財團法人新北市私立樂山園社會福利慈善事業基金會附設樂山教養院" 76.99 5.49006025690984 25
"npo1040" "社團法人中華民國新生活社會福利發展促進會" 76.99 5.49006025690984 25
"npo1047" "主婦聯盟環境保護基金會" 76.99 5.49006025690984 25
"npo1053" "財團法人台北市婦女救援社會福利事業基金會" 76.99 5.49006025690984 25
"npo1082" "社團法人彰化縣喜樂小兒麻痺關懷協會" 76.99 5.49006025690984 25
"npo1144" "社團法人台灣少年權益與福利促進聯盟" 76.99 5.49006025690984 25
"npo1161" "財團法人台北市愛慈社會福利基金會" 76.99 5.49006025690984 25
"npo1246" "社團法人世界和平會" 76.99 5.49006025690984 25
"npo1251" "社團法人中華民國肯愛社會服務協會" 76.99 5.49006025690984 25
"npo1309" "中華青少年純潔運動協會" 76.99 5.49006025690984 25
"npo1370" "靖娟兒童安全文教基金會" 76.99 5.49006025690984 25
"npo1421" "財團法人愛盲基金會" 76.99 5.49006025690984 25
"npo1431" "第一社會福利基金會" 76.99 5.49006025690984 25
"npo1433" "財團法人育成社會福利基金會" 76.99 5.49006025690984 25
"npo1605" "社團法人台灣油症受害者支持協會" 76.99 5.49006025690984 25
"npo1606" "中華民國腦性麻痺協會" 76.99 5.49006025690984 25
"npo1612" "社團法人高雄市慈善團體聯合總會" 76.99 5.49006025690984 25
"npo1643" "財團法人中華民國自閉症基金會" 76.99 5.49006025690984 25
"npo1699" "彰化縣基督教青年會" 76.99 5.49006025690984 25
"npo1779" "社團法人台灣彩虹雙福協會" 76.99 5.49006025690984 25
"npo1830" "中華民國發展遲緩兒童基金會" 76.99 5.49006025690984 25
"npo1988" "新竹市天主教仁愛社會福利基金會" 76.99 5.49006025690984 25
"npo1999" "財團法人勵馨社會福利事業基金會" 76.99 5.49006025690984 25
"npo2020" "台中市私立康善社會福利慈善事業基金會" 76.99 5.49006025690984 25
"npo2036" "財團法人台北市基督教勵友中心" 76.99 5.49006025690984 25
"npo2139" "恩物社會服務推廣協會" 76.99 5.49006025690984 25
"npo2197" "社團法人台灣環境資訊協會" 76.99 5.49006025690984 25
"npo2270" "財團法人陽光社會福利基金會" 76.99 5.49006025690984 25
"npo2292" "財團法人台灣醫療改革基金會" 76.99 5.49006025690984 25
"npo2293" "台中市私立甘霖社會福利慈善事業基金會" 76.99 5.49006025690984 25
"npo2380" "社團法人國際生命線台灣總會" 76.99 5.49006025690984 25
"npo2448" "台灣觸愛協會" 76.99 5.49006025690984 25
"npo2562" "社團法人南投縣麻煩小天使協會" 76.99 5.49006025690984 25
"npo0052" "社團法人台灣婦女展業協會" 76.92 5.48460650819771 24
"npo0782" "財團法人臺中市私立信望愛智能發展中心" 76.92 5.48460650819771 24
"npo1668" "中華民國發展遲緩兒童早期療育協會" 76.92 5.48460650819771 24
"npo2566" "社團法人台灣之心愛護動物協會" 76.92 5.48460650819771 24
"npo0603" "中華民國兒童福利聯盟文教基金會" 75.79 5.40403270418433 24
"npo1885" "財團法人台灣早產兒基金會" 75.71 5.3985789554722 23
"npo1799" "財團法人台灣痲瘋救濟基金會" 74.48 5.31068573941373 22
"npo1812" "財團法人蒲公英希望基金會" 74.4 5.3052319907016 21
"npo0505" "社團法人桃園佛教無意捨協會" 74.25 5.29466794843351 24
"npo2390" "社團法人桃園市助人專業促進協會" 74.25 5.29466794843351 24
"npo0623" "台灣走出埃及輔導協會" 71.92 5.12815437082697 21
"npo0380" "社團法人中華民國瑪納有機文化生活促進會" 70.62 5.03591616808652 20
"npo0076" "台北市八頭里仁協會" 70.17 5.00364704364769 20
"npo0540" "公共電視文化事業基金會" 65.14 4.64459000629084 19
"npo0297" "天主教失智老人社會福利基金會" 64.41 4.59269676585219 19
"npo1677" "財團法人台灣基督教門諾會附設花蓮縣私立善牧中心" 64.41 4.59269676585219 19
"npo1213" "財團法人伊甸社會福利基金會" 61.08 4.35533585005758 19
"npo2335" "兒童燙傷基金會" 61.08 4.35533585005758 19
"npo0329" "真善美啟能發展中心" 58.07 4.14053535703199 18
"npo0028" "中華社會福利聯合勸募協會" 57.31 4.08684939886798 24
"npo0105" "財團法人台灣省私立心德慈化教養院" 57.31 4.08684939886798 24
"npo0164" "財團法人台北市敦安社會福利基金會" 57.31 4.08684939886798 24
"npo0260" "罕見疾病基金會" 57.31 4.08684939886798 24
"npo0280" "財團法人中華民國(台灣)安寧照顧基金會" 57.31 4.08684939886798 24
"npo0375" "中華民國聲暉聯合會" 57.31 4.08684939886798 24
"npo0421" "財團法人台中市私立張秀菊社會福利慈善事業基金會" 57.31 4.08684939886798 24
"npo0423" "財團法人天使心家族社會福利基金會" 57.31 4.08684939886798 24
"npo0459" "台南市私立天主教瑞復益智中心" 57.31 4.08684939886798 24
"npo0488" "中華基督教救助協會" 57.31 4.08684939886798 24
"npo0541" "婦女新知基金會" 57.31 4.08684939886798 24
"npo0598" "崔媽媽基金會" 57.31 4.08684939886798 24
"npo0670" "台灣婦女團體全國聯合會" 57.31 4.08684939886798 24
"npo0768" "財團法人台灣關愛基金會" 57.31 4.08684939886798 24
"npo0794" "財團法人阿寶教育基金會" 57.31 4.08684939886798 24
"npo0942" "財團法人高雄市私立星星兒社會福利基金會" 57.31 4.08684939886798 24
"npo0948" "社團法人台北市視障者家長協會" 57.31 4.08684939886798 24
"npo1077" "財團法人臺南市私立天主教美善社會福利基金會" 57.31 4.08684939886798 24
"npo1159" "財團法人台北市賽珍珠基金會" 57.31 4.08684939886798 24
"npo1192" "創世社會福利基金會" 57.31 4.08684939886798 24
"npo1295" "苗栗縣私立幼安教養院" 57.31 4.08684939886798 24
"npo1406" "財團法人天主教白永恩神父社會福利基金會" 57.31 4.08684939886798 24
"npo1419" "財團法人苗栗縣私立新苗發展中心" 57.31 4.08684939886798 24
"npo1420" "普仁青年關懷基金會" 57.31 4.08684939886798 24
"npo1502" "財團法人環宇國際文化教育基金會" 57.31 4.08684939886798 24
"npo1663" "社團法人台南市慈光身障協會" 57.31 4.08684939886798 24
"npo1730" "財團法人老五老基金會" 57.31 4.08684939886798 24
"npo1748" "海棠文教基金會" 57.31 4.08684939886798 24
"npo1802" "瑞信兒童醫療基金會" 57.31 4.08684939886798 24
"npo1831" "財團法人桃園縣私立路得啟智學園" 57.31 4.08684939886798 24
"npo1833" "中華民國紅心字會" 57.31 4.08684939886798 24
"npo1851" "社團法人台灣微客公益行動協會" 57.31 4.08684939886798 24
"npo1856" "財團法人成長文教基金會" 57.31 4.08684939886798 24
"npo1919" "中華民國更生少年關懷協會" 57.31 4.08684939886798 24
"npo1928" "財團法人臺北市華書慈善基金會" 57.31 4.08684939886798 24
"npo1960" "台灣陽光婦女協會" 57.31 4.08684939886798 24
"npo1970" "財團法人林業生社會福利慈善事業基金會" 57.31 4.08684939886798 24
"npo2035" "財團法人台灣肯納自閉症基金會" 57.31 4.08684939886798 24
"npo2051" "財團法人桃園市私立菩提之家" 57.31 4.08684939886798 24
"npo2055" "台灣防暴聯盟" 57.31 4.08684939886798 24
"npo2084" "桃園縣愛與祥和公益聯盟總會" 57.31 4.08684939886798 24
"npo2279" "財團法人瑪利亞社會福利基金會" 57.31 4.08684939886798 24
"npo2297" "花蓮縣谷若思全人關懷協會" 57.31 4.08684939886798 24
"npo2306" "高雄市身心障礙團體聯合總會" 57.31 4.08684939886798 24
"npo2350" "財團法人台北市脊髓損傷社會福利基金會" 57.31 4.08684939886798 24
"npo2385" "財團法人育田社會福利慈善基金會" 57.31 4.08684939886798 24
"npo2403" "財團法人台灣省私立台灣盲人重建院" 57.31 4.08684939886798 24
"npo2428" "財團法人介惠社會福利慈善基金會" 57.31 4.08684939886798 24
"npo2445" "中華救助總會" 57.31 4.08684939886798 24
"npo2534" "財團法人台灣國際奧比斯防盲救盲基金會" 57.31 4.08684939886798 24
"npo0302" "財團法人聖島社會福利慈善基金會" 57.24 4.08139565015585 23
"npo0338" "財團法人屏東縣私立畢嘉士社會福利基金會" 57.24 4.08139565015585 23
"npo0609" "財團法人台北市自閉兒社會福利基金會" 57.24 4.08139565015585 23
"npo0779" "財團法人台灣紅絲帶基金會" 57.24 4.08139565015585 23
"npo0808" "中華民國身心障礙聯盟(原殘聯)" 57.24 4.08139565015585 23
"npo1409" "社團法人臺南市以琳之家關懷協會" 57.24 4.08139565015585 23
"npo2071" "財團法人桃園市真善美社會福利基金會" 57.24 4.08139565015585 23
"npo2481" "財團法人台北市私立愛愛院" 57.24 4.08139565015585 23
"npo2447" "財團法人彰化縣私立秀和慈善事業基金會" 56.91 4.0578242174403 22
"npo2007" "愛家文化事業基金會" 54.49 3.88567652521709 18
"npo0156" "財團法人桃園縣私立寶貝潛能發展中心" 54.3 3.87204890584239 23
"npo1538" "台北市私立勝利身心障礙潛能發展中心" 54.3 3.87204890584239 23
"npo1126" "桃園市私立安康啟智教養院" 54.23 3.86659515713026 22
"npo2195" "中華民國智障者家長總會" 53.01 3.77981070310194 22
"npo1893" "中華民國保護動物協會" 52.32 3.73039726149724 21
"npo0829" "紙風車文教基金會" 51.79 3.69267438834629 20
"npo1474" "希望基金會" 51.79 3.69267438834629 20
"npo0024" "平安社會福利慈善事業基金會" 51.46 3.66910295563073 19
"npo0089" "台灣彩虹原住民關懷協會" 51.02 3.63815905875679 20
"npo0015" "世華聯合商業銀行文化慈善基金會" 43.88 3.12888603547737 20
"npo0334" "台南市樂扶社會福利慈善事業基金會" 41.4 2.95212499201573 18
"npo0406" "中華民國紅十字會總會" 41.4 2.95212499201573 18
